Date,Open,High,Low,Close,Adj Close,Volume
2023-01-09,81.570000,83.870003,80.839996,82.160004,79.152824,2577000
2023-01-10,81.730003,84.059998,81.430000,84.029999,80.954376,1462400
2023-01-11,84.940002,85.860001,84.089996,85.820000,82.678864,1599200
2023-01-12,87.000000,87.000000,84.550003,86.269997,83.112396,1636500
2023-01-13,85.519997,89.300003,85.269997,88.910004,85.655762,1918400
2023-01-17,88.769997,89.820000,88.400002,88.699997,85.453445,2794100
2023-01-18,89.290001,90.639999,87.389999,87.800003,84.586395,2244200
2023-01-19,86.949997,87.059998,82.820000,83.400002,80.347450,1937600
2023-01-20,84.089996,85.870003,82.889999,85.830002,82.688499,1378000
2023-01-23,86.750000,89.010002,85.570000,88.470001,85.231873,1800300
2023-01-24,87.500000,89.839996,86.930000,87.629997,84.422607,1247700
2023-01-25,86.709999,87.000000,85.169998,85.800003,82.659607,1611500
2023-01-26,86.830002,87.010002,83.870003,84.419998,81.330101,1832500
2023-01-27,84.419998,86.709999,83.849998,86.160004,83.006424,1435100
2023-01-30,84.809998,86.639999,84.620003,84.769997,81.667290,1713000
2023-01-31,85.620003,89.309998,85.160004,89.309998,86.041115,3522100
2023-02-01,88.919998,91.860001,87.970001,91.160004,87.823425,2328200
2023-02-02,92.349998,96.889999,90.099998,95.889999,92.380287,4116300
2023-02-03,93.209999,94.769997,92.070000,93.820000,90.386055,1962700
2023-02-06,92.610001,92.620003,90.809998,92.169998,88.796448,1929500
2023-02-07,91.269997,91.720001,88.849998,90.410004,87.100861,2140600
2023-02-08,89.610001,90.209999,87.320000,87.769997,84.557487,1699200
2023-02-09,88.610001,89.139999,84.110001,84.750000,81.648033,2359000
2023-02-10,84.199997,86.349998,83.739998,85.830002,82.688499,1459100
2023-02-13,85.970001,89.360001,85.949997,89.260002,85.992950,1599900
2023-02-14,88.239998,89.419998,86.540001,89.160004,85.896614,1403800
2023-02-15,89.000000,91.989998,88.650002,91.940002,88.574867,1996600
2023-02-16,90.129997,91.050003,88.940002,90.199997,86.898544,1820100
2023-02-17,89.989998,89.989998,87.080002,89.180000,85.915886,1626500
2023-02-21,87.430000,87.910004,83.699997,83.739998,80.674995,2359500
2023-02-22,83.900002,85.500000,83.820000,84.779999,81.676926,1637600
2023-02-23,85.250000,87.169998,84.500000,86.839996,83.661522,2629600
2023-02-24,85.489998,85.760002,83.389999,84.800003,81.696205,1603600
2023-02-27,86.250000,86.750000,84.160004,84.589996,81.493874,1186600
2023-02-28,84.489998,86.279999,84.309998,85.610001,82.476555,1527500
2023-03-01,85.870003,86.400002,83.519997,83.730003,80.665367,1602800
2023-03-02,83.330002,85.610001,82.040001,85.480003,82.351318,1721500
2023-03-03,86.190002,87.760002,86.050003,87.260002,84.066162,1804100
2023-03-06,86.650002,87.120003,84.660004,85.070000,82.714645,1795400
2023-03-07,85.099998,85.669998,83.889999,84.059998,81.732605,1297100
2023-03-08,83.849998,84.309998,82.680000,84.050003,81.722885,1675300
2023-03-09,84.070000,85.050003,82.360001,82.500000,80.215797,1795000
2023-03-10,82.480003,83.239998,79.470001,80.720001,78.485092,2227300
2023-03-13,79.949997,81.930000,79.029999,80.269997,78.047539,2050800
2023-03-14,82.239998,82.440002,79.330002,80.379997,78.154495,1650900
2023-03-15,78.440002,80.330002,77.970001,79.800003,77.590561,2300200
2023-03-16,78.639999,80.760002,78.400002,80.220001,77.998924,2155200
2023-03-17,80.410004,80.419998,77.669998,77.690002,75.538979,3643700
2023-03-20,77.690002,78.760002,77.589996,78.639999,76.462677,2200200
2023-03-21,79.650002,81.769997,79.150002,79.669998,77.464149,1919000
2023-03-22,79.389999,79.790001,76.480003,76.550003,74.430542,2140100
2023-03-23,76.900002,77.699997,74.790001,75.470001,73.380440,1766400
